similarity,sent_num,story,lang,lag,span
0.16745549320736547,141,2,rus,1,1
0.3374813334421123,142,2,rus,1,1
0.5354551377751702,143,2,rus,1,1
0.2791745790228871,144,2,rus,1,1
NA,1,3,fre,1,1
NA,2,3,fre,1,1
0.4080291144753653,3,3,fre,1,1
0.28213206705903104,4,3,fre,1,1
0.3135636534350925,5,3,fre,1,1
0.40728732826399267,6,3,fre,1,1
0.49445323356957954,7,3,fre,1,1
0.3646449388689245,8,3,fre,1,1
0.39616962389098354,9,3,fre,1,1
0.25247182507770194,10,3,fre,1,1
0.2908165755028963,11,3,fre,1,1
0.4320422275830287,12,3,fre,1,1
0.3842567702011758,13,3,fre,1,1
0.3767057349270211,14,3,fre,1,1
0.36452549706669823,15,3,fre,1,1
0.4380519046467082,16,3,fre,1,1
0.25779217895842355,17,3,fre,1,1
0.22348595507918795,18,3,fre,1,1
0.2075549062541769,19,3,fre,1,1
0.39367853033087963,20,3,fre,1,1
0.4345618665690638,21,3,fre,1,1
0.25219799262090914,22,3,fre,1,1
0.5985038077887481,23,3,fre,1,1
0.2307310840777156,24,3,fre,1,1
0.38164807610975493,25,3,fre,1,1
0.42459912634884917,26,3,fre,1,1
0.22547532936941056,27,3,fre,1,1
0.38027070815859065,28,3,fre,1,1
0.4630264093072553,29,3,fre,1,1
0.3900684589982768,30,3,fre,1,1
0.44747254659098734,31,3,fre,1,1
0.1360620654527912,32,3,fre,1,1
0.6540997917672875,33,3,fre,1,1
0.31035778122631347,34,3,fre,1,1
0.18039997611400307,35,3,fre,1,1
0.4343167865468949,36,3,fre,1,1
0.42351938891964785,37,3,fre,1,1
0.3850970869750082,38,3,fre,1,1
0.2786465864002113,39,3,fre,1,1
0.44369954274192414,40,3,fre,1,1
0.2457722628561574,41,3,fre,1,1
0.17778567766788425,42,3,fre,1,1
0.31630610281122923,43,3,fre,1,1
0.07257957788166783,44,3,fre,1,1
0.3564945723134061,45,3,fre,1,1
0.38748657097947153,46,3,fre,1,1
0.49717214189523745,47,3,fre,1,1
0.16237770128118487,48,3,fre,1,1
0.292873288705497,49,3,fre,1,1
0.48832511072974044,50,3,fre,1,1
0.29433055705598193,51,3,fre,1,1
0.5167402051044098,52,3,fre,1,1
0.33981243923723786,53,3,fre,1,1
0.19367785975303842,54,3,fre,1,1
0.5697551877567509,55,3,fre,1,1
0.4068197391798732,56,3,fre,1,1
0.39884698714803646,57,3,fre,1,1
0.41909698947596075,58,3,fre,1,1
0.2775779543172534,59,3,fre,1,1
0.28213712754575726,60,3,fre,1,1
0.5141170104485087,61,3,fre,1,1
0.3226173909962113,62,3,fre,1,1
0.29981538133361296,63,3,fre,1,1
0.4064451363045722,64,3,fre,1,1
0.1814464386267357,65,3,fre,1,1
0.26524159053332025,66,3,fre,1,1
0.4199903293335157,67,3,fre,1,1
0.5512823189542045,68,3,fre,1,1
0.3124703059841087,69,3,fre,1,1
0.43239351942639515,70,3,fre,1,1
0.20767450419616248,71,3,fre,1,1
0.21951590695535317,72,3,fre,1,1
0.31364678954227043,73,3,fre,1,1
0.4194117064686273,74,3,fre,1,1
0.4706344290889887,75,3,fre,1,1
0.40350370405246405,76,3,fre,1,1
0.25375801108567514,77,3,fre,1,1
0.31585625172272225,78,3,fre,1,1
0.3030748819871805,79,3,fre,1,1
0.3417851853239439,80,3,fre,1,1
0.40591075748771877,81,3,fre,1,1
0.3785231479597625,82,3,fre,1,1
0.32631354014409947,83,3,fre,1,1
0.3226951184282532,84,3,fre,1,1
0.1915554498330535,85,3,fre,1,1
0.2751429833365293,86,3,fre,1,1
0.3228470908262334,87,3,fre,1,1
0.24488050684150353,88,3,fre,1,1
0.37939883466370644,89,3,fre,1,1
0.3591630134823808,90,3,fre,1,1
0.044808847344504764,91,3,fre,1,1
0.44776378661879235,92,3,fre,1,1
0.44776378661879235,93,3,fre,1,1
0.4812420385312257,94,3,fre,1,1
0.2171627044426971,95,3,fre,1,1
0.619850442463043,96,3,fre,1,1
0.39968560892841565,97,3,fre,1,1
0.3286853642079098,98,3,fre,1,1
0.4235267157079294,99,3,fre,1,1
0.3919757964836684,100,3,fre,1,1
0.4007228686245478,101,3,fre,1,1
0.3387202063155837,102,3,fre,1,1
0.34044383931311056,103,3,fre,1,1
0.3398077393437976,104,3,fre,1,1
0.33611481490709005,105,3,fre,1,1
0.397372370106435,106,3,fre,1,1
0.20590431889688038,107,3,fre,1,1
0.07203489855602893,108,3,fre,1,1
0.38318826641647263,109,3,fre,1,1
0.34164761497810353,110,3,fre,1,1
0.2599956894284759,111,3,fre,1,1
0.31075798449291175,112,3,fre,1,1
0.4952349195785382,113,3,fre,1,1
0.42354185936581457,114,3,fre,1,1
0.455528004818388,115,3,fre,1,1
0.2896875024177928,116,3,fre,1,1
0.23472505490780973,117,3,fre,1,1
0.1983470357567196,118,3,fre,1,1
0.3357103577798183,119,3,fre,1,1
0.3020508125185095,120,3,fre,1,1
0.39476372695017725,121,3,fre,1,1
0.31128092182478084,122,3,fre,1,1
0.30040346215986696,123,3,fre,1,1
0.46614421406429307,124,3,fre,1,1
0.37376081055517124,125,3,fre,1,1
0.26627960687921876,126,3,fre,1,1
0.2320298952399419,127,3,fre,1,1
0.43733146952081203,128,3,fre,1,1
0.4247991257895049,129,3,fre,1,1
0.46406146753233496,130,3,fre,1,1
0.35448140035584885,131,3,fre,1,1
0.4247402333130423,132,3,fre,1,1
0.14687666447398565,133,3,fre,1,1
0.39374899767691873,134,3,fre,1,1
0.32422051314547135,135,3,fre,1,1
0.18181974498753506,136,3,fre,1,1
0.37138652678146067,137,3,fre,1,1
0.4321032382390621,138,3,fre,1,1
0.3937473077339039,139,3,fre,1,1
0.3219297120856399,140,3,fre,1,1
0.2569512325719365,141,3,fre,1,1
0.16157382916122898,142,3,fre,1,1
0.35810898182001355,143,3,fre,1,1
0.2639763583531836,144,3,fre,1,1
0.39705567831865823,145,3,fre,1,1
0.3239296198651132,146,3,fre,1,1
0.413937295892986,147,3,fre,1,1
0.7138942441551765,148,3,fre,1,1
0.4959824315497864,149,3,fre,1,1
0.3716856742984571,150,3,fre,1,1
0.27335150044973444,151,3,fre,1,1
0.2890787227655291,152,3,fre,1,1
0.6111180791985077,153,3,fre,1,1
0.2697040540720498,154,3,fre,1,1
0.3219502866982227,155,3,fre,1,1
0.5065932734341084,156,3,fre,1,1
0.3644108935980508,157,3,fre,1,1
0.21155420867805494,158,3,fre,1,1
NA,1,4,eng,1,1
NA,2,4,eng,1,1
0.12110155103598963,3,4,eng,1,1
0.25639874934594953,4,4,eng,1,1
0.16881286470541634,5,4,eng,1,1
0.16954079789865564,6,4,eng,1,1
0.34881503294465754,7,4,eng,1,1
0.33547080947609903,8,4,eng,1,1
0.2481163363669791,9,4,eng,1,1
0.32726143808141367,10,4,eng,1,1
0.197391923852415,11,4,eng,1,1
0.14560675942621815,12,4,eng,1,1
0.3038932549671708,13,4,eng,1,1
0.2783243890992604,14,4,eng,1,1
0.20045559952292843,15,4,eng,1,1
-0.023087788622659793,16,4,eng,1,1
0.07425201985818407,17,4,eng,1,1
0.17335748023055766,18,4,eng,1,1
0.15110052394707316,19,4,eng,1,1
0.13185508411275926,20,4,eng,1,1
0.21550248848478745,21,4,eng,1,1
0.27230063137445154,22,4,eng,1,1
0.32366978779601113,23,4,eng,1,1
0.2198096962024218,24,4,eng,1,1
0.5249981287813089,25,4,eng,1,1
0.49548984438189514,26,4,eng,1,1
0.46141758984803566,27,4,eng,1,1
0.09216200710908762,28,4,eng,1,1
0.16588338105360545,29,4,eng,1,1
0.16449111958385598,30,4,eng,1,1
0.8037286816370661,31,4,eng,1,1
0.3739015541540788,32,4,eng,1,1
0.21965676990213923,33,4,eng,1,1
0.35646319812190846,34,4,eng,1,1
0.31891320868319806,35,4,eng,1,1
0.32025307213420623,36,4,eng,1,1
0.1670657467182172,37,4,eng,1,1
0.2713791437267022,38,4,eng,1,1
0.36424413994476,39,4,eng,1,1
0.19328941430592908,40,4,eng,1,1
0.017779518688763513,41,4,eng,1,1
0.4424737024839499,42,4,eng,1,1
0.2869953096696679,43,4,eng,1,1
0.1869111257478113,44,4,eng,1,1
0.13042082058867221,45,4,eng,1,1
0.36172887742906956,46,4,eng,1,1
0.30654277892824755,47,4,eng,1,1
0.0629393486184333,48,4,eng,1,1
0.07127480789469946,49,4,eng,1,1
0.23301121867983127,50,4,eng,1,1
0.01094182809293275,51,4,eng,1,1
0.30834523003377623,52,4,eng,1,1
0.24905565256348264,53,4,eng,1,1
0.4737941135108093,54,4,eng,1,1
0.44852529870031865,55,4,eng,1,1
0.41754056608711415,56,4,eng,1,1
0.21840671042288443,57,4,eng,1,1
0.2078077610956148,58,4,eng,1,1
0.371182071373498,59,4,eng,1,1
0.13359018682390617,60,4,eng,1,1
0.03350481813976581,61,4,eng,1,1
0.489553663091813,62,4,eng,1,1
0.33328484476383013,63,4,eng,1,1
0.24540408327400914,64,4,eng,1,1
0.12584149278567308,65,4,eng,1,1
0.12664573485897956,66,4,eng,1,1
0.4906307054291392,67,4,eng,1,1
0.20849713411316,68,4,eng,1,1
0.12696898971406842,69,4,eng,1,1
0.41256197371587516,70,4,eng,1,1
0.16221060860100875,71,4,eng,1,1
-0.041217042280985376,72,4,eng,1,1
0.07481031944669388,73,4,eng,1,1
0.3488605120170489,74,4,eng,1,1
0.5003020550040091,75,4,eng,1,1
0.17662397112512288,76,4,eng,1,1
0.25523790515091666,77,4,eng,1,1
0.06491038834190338,78,4,eng,1,1
0.13924990316195823,79,4,eng,1,1
0.33037936762711373,80,4,eng,1,1
0.2688309136582395,81,4,eng,1,1
0.3832619433516072,82,4,eng,1,1
0.2724692808535448,83,4,eng,1,1
0.21652942952065696,84,4,eng,1,1
0.15072093846272802,85,4,eng,1,1
0.14475407565170484,86,4,eng,1,1
0.2075236800761753,87,4,eng,1,1
0.1963542672924593,88,4,eng,1,1
0.2796132358606279,89,4,eng,1,1
0.26955676198150996,90,4,eng,1,1
0.14212732981278503,91,4,eng,1,1
0.0694925902783379,92,4,eng,1,1
0.16539575306313625,93,4,eng,1,1
0.18231415514018548,94,4,eng,1,1
0.21532705172668987,95,4,eng,1,1
0.44027720018131644,96,4,eng,1,1
0.39628398732013287,97,4,eng,1,1
0.2733501884497378,98,4,eng,1,1
-0.11542901638555801,99,4,eng,1,1
0.5154264692479484,100,4,eng,1,1
0.5154264692479484,101,4,eng,1,1
0.3263378441114607,102,4,eng,1,1
0.15040705543392466,103,4,eng,1,1
0.37468084254946915,104,4,eng,1,1
0.23701626727462782,105,4,eng,1,1
0.3813553032873883,106,4,eng,1,1
0.18119534231526385,107,4,eng,1,1
0.10065635450305616,108,4,eng,1,1
0.29342658691716117,109,4,eng,1,1
0.2625863488431457,110,4,eng,1,1
0.3521018562949857,111,4,eng,1,1
0.26299150855365677,112,4,eng,1,1
0.32643971097886987,113,4,eng,1,1
0.03411774510640883,114,4,eng,1,1
0.07250169741692372,115,4,eng,1,1
0.19654466922984098,116,4,eng,1,1
0.2243379199396666,117,4,eng,1,1
0.16510794564517153,118,4,eng,1,1
0.22593086236828663,119,4,eng,1,1
0.2464154514904072,120,4,eng,1,1
0.09798011964924823,121,4,eng,1,1
0.17077475656001717,122,4,eng,1,1
0.03753229084547236,123,4,eng,1,1
0.22917207372075962,124,4,eng,1,1
0.18783033163552668,125,4,eng,1,1
0.05083185295661151,126,4,eng,1,1
0.059046047361009185,127,4,eng,1,1
0.23303114923493853,128,4,eng,1,1
0.3618821024081234,129,4,eng,1,1
0.2770372416251735,130,4,eng,1,1
0.1334858597818269,131,4,eng,1,1
0.13638014576738502,132,4,eng,1,1
0.05014909062173205,133,4,eng,1,1
0.09812027817406913,134,4,eng,1,1
0.10008336804527301,135,4,eng,1,1
0.18680378247491142,136,4,eng,1,1
0.09107620077898385,137,4,eng,1,1
0.26116403526778975,138,4,eng,1,1
0.018438402941973308,139,4,eng,1,1
0.2763081984733781,140,4,eng,1,1
0.19107399185222967,141,4,eng,1,1
0.31630093939429127,142,4,eng,1,1
0.28842960966414793,143,4,eng,1,1
0.2413160047813962,144,4,eng,1,1
0.27359100459854857,145,4,eng,1,1
0.09539615797237858,146,4,eng,1,1
0.44700612470309004,147,4,eng,1,1
0.007508787083946962,148,4,eng,1,1
0.10458199567819579,149,4,eng,1,1
0.2142411567089841,150,4,eng,1,1
0.23042182174969705,151,4,eng,1,1
0.1232962402615536,152,4,eng,1,1
0.26854616997475633,153,4,eng,1,1
0.30234670147265563,154,4,eng,1,1
0.2698256042768476,155,4,eng,1,1
0.1584088212357863,156,4,eng,1,1
