x.num,y.num,value,x.story,x.chunk,y.story,y.chunk,x.id,y.id,x.num.prop,y.num.prop,max.sim,num.prop.diff,num.prop.diff.abs,translation_steps,chunk_steps,different_chunks,rscore.pred.diff,rscore.pred.diff.abs,rscore.avg.cos,rscore.avg.cos.med
18,17,0.32342738,1,3,4,5,eng1.3,eng4.5,0.43902439024390244,0.3695652173913043,0.32342738,-0.06945917285259812,0.06945917285259812,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
19,17,0.2563244,1,3,4,5,eng1.3,eng4.5,0.4634146341463415,0.3695652173913043,0.2563244,-0.09384941675503716,0.09384941675503716,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
20,1,0.30342293,1,3,4,5,eng1.3,eng4.5,0.4878048780487805,0.021739130434782608,0.30342293,-0.4660657476139979,0.4660657476139979,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
21,24,0.29839674,1,3,4,5,eng1.3,eng4.5,0.5121951219512195,0.5217391304347826,0.29839674,0.009544008483563071,0.009544008483563071,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
22,4,0.31908724,1,3,4,5,eng1.3,eng4.5,0.5365853658536586,0.08695652173913043,0.31908724,-0.44962884411452814,0.44962884411452814,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
23,4,0.24764533,1,3,4,5,eng1.3,eng4.5,0.5609756097560976,0.08695652173913043,0.24764533,-0.4740190880169672,0.4740190880169672,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
24,12,0.3726803,1,3,4,5,eng1.3,eng4.5,0.5853658536585366,0.2608695652173913,0.3726803,-0.32449628844114525,0.32449628844114525,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
25,25,0.42817473,1,3,4,5,eng1.3,eng4.5,0.6097560975609756,0.5434782608695652,0.42817473,-0.06627783669141041,0.06627783669141041,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
26,10,0.32563627,1,3,4,5,eng1.3,eng4.5,0.6341463414634146,0.21739130434782608,0.32563627,-0.4167550371155886,0.4167550371155886,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
27,7,0.42033082,1,3,4,5,eng1.3,eng4.5,0.6585365853658537,0.15217391304347827,0.42033082,-0.5063626723223754,0.5063626723223754,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
28,16,0.40506017,1,3,4,5,eng1.3,eng4.5,0.6829268292682927,0.34782608695652173,0.40506017,-0.335100742311771,0.335100742311771,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
29,17,0.32613677,1,3,4,5,eng1.3,eng4.5,0.7073170731707317,0.3695652173913043,0.32613677,-0.33775185577942735,0.33775185577942735,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
30,7,0.39512762,1,3,4,5,eng1.3,eng4.5,0.7317073170731707,0.15217391304347827,0.39512762,-0.5795334040296924,0.5795334040296924,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
31,26,0.4508672,1,3,4,5,eng1.3,eng4.5,0.7560975609756098,0.5652173913043478,0.4508672,-0.19088016967126198,0.19088016967126198,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
32,24,0.3475705,1,3,4,5,eng1.3,eng4.5,0.7804878048780488,0.5217391304347826,0.3475705,-0.2587486744432662,0.2587486744432662,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
33,17,0.34367347,1,3,4,5,eng1.3,eng4.5,0.8048780487804879,0.3695652173913043,0.34367347,-0.43531283138918353,0.43531283138918353,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
34,22,0.19894573,1,3,4,5,eng1.3,eng4.5,0.8292682926829268,0.4782608695652174,0.19894573,-0.3510074231177094,0.3510074231177094,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
35,20,0.3985841,1,3,4,5,eng1.3,eng4.5,0.8536585365853658,0.43478260869565216,0.3985841,-0.4188759278897137,0.4188759278897137,3,2,FALSE,-0.11417966974700805,0.27312528404787156,0.37109807542857143,0.37896216
1,25,0.30945584,1,4,1,1,eng1.4,eng1.1,0.024390243902439025,0.6097560975609756,0.30945584,0.5853658536585366,0.5853658536585366,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
2,6,0.32139978,1,4,1,1,eng1.4,eng1.1,0.04878048780487805,0.14634146341463414,0.32139978,0.09756097560975609,0.09756097560975609,0,3,FALSE,-0.013066202090592333,0.24303135888501742,0.3135266189285714,0.32210605000000003
