umap.x,umap.y,story
5.84956,5.2214155,1
6.0601926,3.5569785,1
2.9931202,1.0400851,1
3.0574634,1.0863514,1
5.463614,5.813369,1
6.0019913,3.4367392,1
4.63593,3.7499201,1
4.127514,2.5775604,1
4.9063916,2.2240121,1
4.8609424,2.0800357,1
4.662407,2.981339,1
5.2886353,4.125869,1
6.0078764,4.880546,1
4.32606,3.7384024,1
5.6056666,3.9450014,1
5.653818,3.0188484,1
5.3765416,2.2383997,1
5.9252796,2.9121814,1
6.15886,3.3010976,1
7.960418,3.8322604,1
5.3735948,5.402783,1
6.72316,7.0347314,1
6.9775276,6.8936577,1
4.456391,2.847082,1
5.673822,3.5984738,1
5.2784634,3.716827,1
5.8749886,2.4049473,1
6.2218804,2.4966245,1
6.006537,2.407346,1
5.606421,2.2119248,1
5.5603805,2.3269904,1
6.3696823,6.9286656,1
7.3886724,7.169165,1
8.499263,6.5263944,1
8.214001,6.89909,1
7.385149,6.4134855,1
8.474101,6.560382,1
7.9869757,7.0999856,1
8.41395,5.9372606,1
3.1728845,1.2238153,1
7.543021,7.0311246,1
7.582266,5.972057,1
7.835633,5.0449023,1
8.806462,5.752061,1
7.976292,3.9279313,1
6.686501,4.0924153,1
7.613498,2.9534392,1
5.75795,6.2522545,1
5.1615973,6.718493,1
3.6749022,7.110365,1
5.4644403,4.5672784,1
6.848822,5.191145,1
7.344856,5.1735106,1
3.815178,6.251635,1
3.8310795,6.3961296,1
6.0705843,7.215743,1
4.9595623,7.4063644,1
5.523977,7.0346756,1
6.1001496,9.178613,1
5.1427064,7.190753,1
7.772684,2.658342,1
7.8800387,2.5208812,1
7.1136146,2.2173586,1
7.187024,2.202638,1
4.469317,3.8463445,1
5.6475954,2.6900814,1
5.4246144,2.8812656,1
5.575289,2.789943,1
4.1040897,7.1679254,1
6.875965,2.8711972,1
7.1287165,3.1487496,1
6.8124485,2.8607903,1
6.6668615,1.5609335,1
7.1927533,1.7053777,1
8.130553,3.5097322,1
7.6519356,3.164077,1
3.9818225,7.861329,2
4.5649295,8.664771,2
4.078488,8.147472,2
4.404317,8.400563,2
3.6722608,5.6780243,2
4.518505,8.007,2
4.835323,9.496656,2
3.5472941,9.034872,2
3.361843,9.098111,2
5.16407,8.840115,2
5.1555233,9.121022,2
5.0846744,8.931682,2
4.8932576,8.517569,2
4.383857,5.412962,2
4.6051326,5.2540565,2
4.5461097,5.187715,2
3.8408415,4.215096,2
6.3692007,3.6382813,2
4.9842434,8.830231,2
3.8221898,9.158922,2
8.201135,5.52117,2
4.814878,4.291223,2
4.426176,4.523343,2
4.7778077,4.4427767,2
4.382905,4.210356,2
4.348642,4.872873,2
