umap.x,umap.y,story,window
13.618134,10.924373,2,1
13.129792,8.244462,2,1
12.565713,7.47518,2,1
12.641248,4.11288,2,1
12.882132,7.7627435,2,1
6.6002774,4.4372635,2,1
13.902216,4.323833,2,1
13.546934,4.5722485,2,1
12.41529,6.145451,2,1
12.379955,6.7716155,2,1
12.965035,5.851257,2,1
11.761032,5.896184,2,1
12.2275715,4.939829,2,1
14.002117,4.578114,2,1
11.720862,4.5492215,2,1
11.09018,4.866889,2,1
13.012536,7.355624,2,1
12.114333,8.566745,2,1
11.855431,8.725457,2,1
12.741297,5.2331576,2,1
11.872498,5.635521,2,1
11.832104,4.5751505,2,1
12.295879,8.71731,2,1
11.111299,8.8849535,2,1
10.301278,8.1854315,2,1
10.392039,8.487965,2,1
10.40477,8.318772,2,1
10.828747,8.040082,2,1
10.735807,8.68421,2,1
10.233394,7.3148932,2,1
11.143972,8.787895,2,1
11.097785,7.8709564,2,1
10.180486,6.169864,2,1
9.8873005,7.276123,2,1
10.472525,4.846108,2,1
11.328903,5.457772,2,1
12.635686,8.215362,2,1
13.542566,8.294243,2,1
15.076561,7.935444,2,1
12.361889,10.0588045,2,1
12.89621,10.325663,2,1
13.073178,5.6693263,2,1
11.619922,6.6534486,2,1
10.652104,6.464004,2,1
14.779968,7.3838778,2,1
12.896501,9.29211,2,1
13.08995,8.966383,2,1
13.41334,10.630999,2,1
13.52069,9.165054,2,1
12.880405,8.716713,2,1
10.912344,3.6980739,2,1
10.842458,3.8111467,2,1
11.663747,3.3235536,2,1
13.512875,5.2204,2,1
12.737702,4.73703,2,1
12.44367,4.4754505,2,1
14.327461,8.246219,2,1
12.322502,3.5619757,2,1
11.693849,3.8638031,2,1
12.28818,3.4957569,2,1
9.9673195,4.4842362,2,1
12.615222,2.9523742,2,1
11.984805,2.8982708,2,1
10.751729,4.181576,2,1
15.134317,8.89403,3,1
14.657359,9.3030615,3,1
14.85251,6.807049,3,1
14.196826,9.304412,3,1
14.394239,10.4860525,3,1
15.573943,9.935185,3,1
15.783717,10.247125,3,1
14.227866,9.898857,3,1
14.427099,10.263887,3,1
14.156592,9.654148,3,1
14.60142,10.048727,3,1
14.508987,9.26893,3,1
13.6534195,6.641663,3,1
13.626299,6.385751,3,1
14.207616,5.943663,3,1
14.296308,5.752658,3,1
12.141886,4.1773043,3,1
12.421094,4.515424,3,1
14.674717,9.8431425,3,1
15.475921,9.984134,3,1
10.733389,7.398191,3,1
13.822703,5.6935606,3,1
13.853254,5.595213,3,1
15.315699,10.073396,3,1
14.418288,10.61843,3,1
6.3483496,4.6352587,3,1
11.451636,8.173722,3,1
14.84276,10.26624,3,1
15.046244,9.218223,3,1
13.346182,4.9856305,3,1
12.876237,3.743895,3,1
