umap.x,umap.y,story,grain
10.397027,3.920796,2,1
11.255234,4.0548277,2,1
12.14208,6.7772775,2,1
11.848072,5.9928308,2,1
11.891938,5.7962174,2,1
10.395538,9.237898,2,1
11.0761595,4.703318,2,1
10.601669,4.646533,2,1
11.140109,4.6203856,2,1
9.165977,4.2822356,2,1
12.088875,4.4637914,2,1
11.680704,4.01431,2,1
10.080774,4.274736,2,1
10.976938,10.606113,3,1
10.237816,11.046184,3,1
11.844512,8.705723,3,1
10.349603,10.461246,3,1
10.058179,11.559671,3,1
11.040257,11.814043,3,1
11.126869,11.984737,3,1
9.412269,11.101545,3,1
9.827164,11.6855135,3,1
9.541327,10.855045,3,1
9.499514,11.501236,3,1
10.250727,10.910718,3,1
10.884502,7.8663216,3,1
11.224753,7.775588,3,1
12.3307,7.391151,3,1
12.504068,7.332071,3,1
10.589489,5.32773,3,1
10.820466,5.844735,3,1
9.705492,11.326169,3,1
10.679903,11.651613,3,1
8.34245,7.176283,3,1
11.76279,7.318734,3,1
11.617498,7.5516515,3,1
10.68341,11.572066,3,1
10.31196,11.779015,3,1
7.2499332,2.7172608,3,1
7.076205,8.714485,3,1
9.731081,10.919749,3,1
10.797661,10.72365,3,1
10.529573,6.9563327,3,1
11.074434,4.8413577,3,1
11.200449,10.837481,3,1
11.241239,11.315195,3,1
11.854734,6.560143,3,1
10.27749,9.67933,3,1
8.997752,9.9003,3,1
9.349669,10.186444,3,1
8.920148,9.94171,3,1
10.414793,6.086929,3,1
11.061143,6.2575493,3,1
7.037482,2.49279,3,1
11.129667,7.4422164,3,1
11.95385,6.1147127,3,1
9.826453,10.289394,3,1
8.231279,10.033104,3,1
10.922456,11.164149,3,1
12.108554,8.111405,3,1
12.767691,6.2868886,3,1
12.585631,8.530988,3,1
12.742292,8.525009,3,1
9.675063,4.593671,3,1
9.051602,4.507861,3,1
8.768962,5.3982153,3,1
12.136061,4.3517995,3,1
11.689505,4.0516305,3,1
10.007973,4.405374,3,1
8.988038,4.478939,3,1
8.526252,5.6356716,3,1
12.610191,8.423773,3,1
11.272269,8.334687,3,1
11.270853,8.675604,3,1
11.59604,10.560478,3,1
9.056346,5.4850483,3,1
11.794924,9.205754,3,1
8.918753,10.311508,3,1
11.705553,9.558969,3,1
10.937814,10.301655,3,1
10.67104,10.099997,3,1
9.717656,9.942207,3,1
8.703458,9.923414,3,1
9.116049,8.292987,3,1
10.721165,9.381326,3,1
10.411216,7.891799,3,1
11.757439,6.331714,3,1
11.070351,6.457577,3,1
9.443768,7.0905647,3,1
8.559493,10.629811,3,1
7.9584384,9.759722,3,1
8.554727,10.435181,3,1
8.591132,9.804586,3,1
8.133241,9.607619,3,1
8.625152,9.303581,3,1
8.578146,10.993793,3,1
8.719177,9.140035,3,1
8.737195,11.2702675,3,1
