umap.x,umap.y,story,grain
18.097603,2.388524,1,1
17.040506,3.1788085,1,1
18.558414,2.5045612,1,1
14.586662,2.9360216,1,1
12.96363,2.6338835,1,1
19.12293,3.7520754,1,1
18.634132,3.2286732,1,1
18.14833,5.063512,1,1
17.503403,4.989008,1,1
12.908258,1.2833488,1,1
14.070304,2.3078105,1,1
13.1768055,2.6397576,1,1
16.315447,1.4143789,1,1
12.505809,2.4363816,1,1
16.457176,4.476388,1,1
18.549149,3.336055,1,1
16.283316,1.8839792,1,1
13.299738,2.625458,1,1
17.467167,2.1899793,1,1
16.459272,1.9731027,1,1
14.16009,2.9993932,1,1
14.7637005,2.178134,1,1
16.81883,1.2572998,1,1
19.125818,3.8250706,1,1
16.219402,3.0501776,1,1
13.543115,3.0291314,1,1
14.348628,4.6880527,1,1
16.440224,1.8108492,1,1
12.57823,2.4089658,1,1
18.720167,3.2573419,1,1
13.337451,0.51532245,1,1
16.457218,2.6849506,1,1
17.714134,2.71428,1,1
15.217529,2.845435,1,1
17.277124,3.6145604,1,1
17.116356,2.4147744,1,1
14.5883465,2.6954343,1,1
18.216206,4.941392,1,1
13.471086,1.0804889,1,1
16.686829,3.2855947,1,1
16.382929,1.4324774,1,1
17.800673,2.6324015,1,1
15.953524,2.9936461,1,1
12.704111,3.391678,1,1
15.733552,2.8324554,1,1
12.752561,3.6587167,1,1
16.176603,2.5298572,1,1
17.381323,4.4780655,1,1
13.328825,0.7979191,1,1
13.116192,2.861991,1,1
13.647748,3.698503,1,1
17.407175,4.7244353,1,1
13.421106,4.1144633,1,1
14.703156,4.496891,1,1
13.082146,0.61563975,1,1
14.300144,5.580495,1,1
13.220394,3.9879785,1,1
17.195166,4.129517,1,1
15.0652685,2.6581006,1,1
17.092562,1.3473122,1,1
14.489134,1.2703367,1,1
13.531727,3.5683377,1,1
19.121134,3.645079,1,1
16.791618,3.236988,1,1
16.225052,1.7930676,1,1
14.226907,2.8919697,1,1
14.734501,1.3752335,1,1
16.15237,2.0986633,1,1
13.051841,0.60720813,1,1
12.799208,3.483778,1,1
12.722121,3.5864444,1,1
16.06203,4.342256,1,1
14.403717,3.769741,1,1
17.649534,3.8751767,1,1
13.442363,0.49182677,1,1
17.526138,2.0330842,1,1
18.473759,2.8779356,1,1
14.890187,1.8444208,1,1
16.267084,4.8199635,1,1
14.200738,2.186677,1,1
17.59549,2.5542803,1,1
16.709599,2.834073,1,1
14.930122,2.43917,1,1
14.992792,1.7459552,1,1
17.22177,2.1954265,1,1
17.477043,2.1381803,1,1
18.176659,2.4604673,1,1
14.877399,1.8836446,1,1
17.599955,2.263932,1,1
18.729132,3.1985288,1,1
18.153687,4.2417235,1,1
14.158782,3.1492093,1,1
13.300914,3.1440272,1,1
17.754568,4.404299,1,1
15.667342,2.0251474,1,1
14.915856,1.3546977,1,1
17.705347,2.321271,1,1
16.598164,3.3845496,1,1
16.30013,3.2504938,1,1
16.936056,3.129683,1,1
16.720602,4.2228866,1,1
15.549076,4.1532145,1,1
14.217053,4.6467195,1,1
16.322361,1.4745622,2,1
17.884003,3.0511916,2,1
18.089458,2.7902822,2,1
16.74066,1.5343432,2,1
17.240377,5.1943064,2,1
17.129349,5.273574,2,1
14.907379,2.864092,2,1
17.978558,2.6671002,2,1
14.844773,5.302674,2,1
16.743032,5.9048405,2,1
16.971832,2.341841,2,1
