umap.x,umap.y,story,window
13.370095,9.663145,1,1
13.820937,9.244077,1,1
13.027836,8.913431,1,1
14.747924,9.94293,1,1
13.375441,7.1729665,1,1
12.46131,7.0351334,1,1
12.301706,6.3760624,1,1
11.540091,5.4504375,1,1
7.348787,1.6281307,1,1
7.4239593,1.5373222,1,1
13.018175,6.9609942,1,1
11.563541,5.3451104,1,1
12.010678,4.4971013,1,1
7.9754486,1.6843528,1,1
12.794338,3.583344,1,1
13.031916,3.5332658,1,1
12.615874,4.181925,1,1
12.07733,5.2537913,1,1
12.147034,6.066656,1,1
12.801212,4.5352077,1,1
11.648374,4.9719405,1,1
11.743041,3.8282387,1,1
13.216253,3.6790996,1,1
11.197614,4.0935006,1,1
11.091345,4.89857,1,1
9.856484,6.1760283,1,1
12.752792,6.670653,1,1
12.592104,8.19541,1,1
12.322263,8.631923,1,1
12.254194,4.605,1,1
11.356,4.779543,1,1
11.077686,4.351519,1,1
11.348216,3.5582502,1,1
10.994661,3.8052216,1,1
11.246155,3.7910988,1,1
12.4041195,3.4467971,1,1
12.507064,3.5239599,1,1
12.89021,8.201198,1,1
11.752246,8.943224,1,1
10.674742,8.861173,1,1
11.172529,9.118172,1,1
11.787932,8.352067,1,1
10.688477,8.703939,1,1
11.3794,9.096671,1,1
10.531027,8.211877,1,1
7.3518896,1.6483623,1,1
11.845451,8.840199,1,1
11.3815975,7.9553857,1,1
10.496943,7.155012,1,1
10.090269,8.192611,1,1
9.872546,6.312038,1,1
10.899172,3.242349,1,1
9.959672,5.446123,1,1
13.072538,7.5046225,1,1
13.722937,7.008605,1,1
14.920306,6.991567,1,1
12.279112,5.5176687,1,1
11.485844,6.679984,1,1
10.965368,7.0610986,1,1
14.356756,6.4243937,1,1
14.406507,6.6218996,1,1
13.2379675,8.703628,1,1
13.875523,8.191173,1,1
13.421641,8.009107,1,1
14.578536,9.531318,1,1
13.552354,7.9154043,1,1
9.671921,5.0762634,1,1
9.417077,5.0517783,1,1
10.0340185,4.6079044,1,1
10.065694,4.561876,1,1
13.298649,4.2186675,1,1
12.12052,3.708158,1,1
12.063774,3.8537498,1,1
11.920489,3.7564762,1,1
14.336268,7.0279756,1,1
10.451243,4.8523445,1,1
10.394466,5.23336,1,1
10.444255,4.8246074,1,1
9.637066,3.7129495,1,1
9.682801,4.132269,1,1
9.41604,5.938728,1,1
9.99443,5.421758,1,1
15.372439,7.512856,2,1
15.065882,7.884014,2,1
15.442096,7.401943,2,1
15.17346,7.781967,2,1
14.259498,5.6615276,2,1
14.611187,7.911098,2,1
15.624674,9.0892315,2,1
16.245737,8.327196,2,1
16.40247,8.382968,2,1
14.962872,8.702753,2,1
15.44007,8.63556,2,1
15.12794,8.646711,2,1
14.878364,8.078613,2,1
13.879757,6.1364646,2,1
13.161719,5.845686,2,1
13.397357,5.5354567,2,1
13.724738,4.295711,2,1
11.109054,5.526058,2,1
15.384729,8.404544,2,1
15.970994,8.373545,2,1
10.654484,7.9197497,2,1
12.867238,4.9479847,2,1
14.34662,4.8436437,2,1
12.876332,5.104138,2,1
13.238823,4.617686,2,1
13.41942,5.1044655,2,1
13.50982,4.989079,2,1
15.837228,8.657776,2,1
15.214086,9.013851,2,1
15.518984,7.493254,2,1
11.754336,5.7635994,2,1
10.8603735,5.2128787,2,1
14.826178,5.5003333,2,1
15.812158,7.433219,2,1
16.039452,7.7988706,2,1
12.595183,4.960172,2,1
14.123181,7.606325,2,1
14.262987,8.818791,2,1
11.722069,4.5299907,2,1
11.648079,4.607157,2,1
12.050011,4.522007,2,1
12.898826,5.239055,2,1
12.141404,3.8210309,2,1
14.478637,8.752175,2,1
13.605159,9.626616,2,1
15.813704,7.891597,2,1
14.635512,5.1816206,2,1
13.745458,5.2090373,2,1
13.025721,3.468452,2,1
14.783815,5.1740184,2,1
14.631265,5.1580205,2,1
9.907803,6.036985,2,1
9.5953455,6.3449507,2,1
10.549117,6.532991,2,1
9.662439,3.7395434,2,1
9.721834,4.2170005,2,1
9.86004,5.590355,2,1
9.367335,6.506631,2,1
14.382458,4.778771,2,1
13.63411,5.8421254,2,1
13.884866,6.1377053,2,1
15.841121,6.967053,2,1
10.81936,6.4125214,2,1
14.907085,6.1042495,2,1
15.087883,6.30776,2,1
15.144425,7.2518506,2,1
14.783997,7.4669814,2,1
13.81801,8.997922,2,1
12.307074,7.526989,2,1
