umap.x,umap.y,story,grain
7.27457,6.884164,1,1
7.650678,5.943238,1,1
7.36126,6.238265,1,1
6.835506,6.8267107,1,1
7.502588,5.7880282,1,1
7.12343,6.4516616,1,1
7.1296053,5.41868,1,1
-0.00044146104,3.9391096,1,1
7.3093424,6.8806067,1,1
6.5455165,6.3316736,1,1
6.3577623,4.8929677,1,1
7.3994517,5.1242237,1,1
6.1064157,3.985348,1,1
4.0071154,3.0123546,1,1
5.3849177,3.3350544,1,1
4.820841,6.917372,1,1
4.34247,7.2614,1,1
3.241431,8.346964,1,1
3.785457,5.442525,1,1
5.455611,5.399477,1,1
6.1297126,5.214006,1,1
3.1476758,7.4539824,1,1
3.254769,7.5645533,1,1
5.555205,7.7777553,1,1
4.5818768,8.11847,1,1
5.044124,7.6594315,1,1
5.528768,9.333589,1,1
4.7038484,7.9352236,1,1
5.3741693,2.8703873,1,1
5.419328,2.722793,1,1
4.655674,2.9444191,1,1
4.6264367,2.9803424,1,1
2.389462,5.273188,1,1
3.274135,3.673877,1,1
3.112627,3.9883826,1,1
3.3007455,3.8507876,1,1
3.6039937,8.007955,1,1
4.7265167,3.594056,1,1
4.9150925,3.680716,1,1
4.733269,3.6297927,1,1
4.1638556,1.9905125,1,1
4.5181155,2.247645,1,1
6.0583963,3.4002666,1,1
5.423258,3.3991282,1,1
3.5453444,8.914373,2,1
4.1835485,9.448494,2,1
3.7776172,9.110073,2,1
3.9565463,9.354832,2,1
2.728272,6.897586,2,1
4.1442633,9.042296,2,1
4.1694837,10.00312,2,1
3.2424989,10.040811,2,1
3.1839466,10.205034,2,1
4.59108,9.9292755,2,1
4.398361,10.25233,2,1
4.8235383,10.129457,2,1
4.3466983,9.3913555,2,1
3.1648903,6.4215827,2,1
3.2305303,6.275511,2,1
3.374359,6.127739,2,1
2.1104453,5.6783557,2,1
4.2448125,4.5112247,2,1
4.653159,9.992966,2,1
3.5832875,10.036013,2,1
6.8093204,5.379279,2,1
3.0262926,5.453934,2,1
2.155197,6.4099045,2,1
3.1169283,5.4605393,2,1
