umap.x,umap.y,story,window
4.2340145,10.946315,2,1
5.0732346,6.2936506,2,1
3.6614137,5.704146,2,1
4.5735326,10.549662,2,1
4.3865466,6.2606373,2,1
1.83837,7.2990837,2,1
3.9871178,10.990758,2,1
2.1058602,9.201395,2,1
3.3287084,8.658722,2,1
3.2339172,7.8938303,2,1
4.8258963,9.866002,2,1
3.334079,8.338782,2,1
4.5036483,4.851795,2,1
2.2454085,8.763911,2,1
3.292185,7.350581,2,1
4.692675,4.3643446,2,1
3.4881344,7.060677,2,1
2.7796931,7.817161,2,1
4.307964,9.079081,2,1
5.164265,9.910717,2,1
4.326883,7.7066708,2,1
3.7242982,7.752941,2,1
3.3881772,8.41405,2,1
4.4503155,5.4275517,2,1
4.0379643,8.686169,2,1
3.117853,6.503831,2,1
1.412234,7.443679,2,1
4.2238755,6.3159323,2,1
2.8824296,9.521418,2,1
3.1691945,4.629862,2,1
2.0673597,5.4148483,2,1
2.2048867,7.246363,2,1
3.2577188,7.900337,2,1
3.4890296,5.1880493,2,1
2.5518029,7.896359,2,1
4.410465,7.302378,2,1
3.545909,7.0940714,2,1
3.6667657,5.5046144,2,1
2.539619,7.3577533,2,1
3.5143538,4.9305654,2,1
4.0908504,5.6349535,2,1
3.373777,5.0121717,2,1
4.4422464,5.037267,2,1
3.6745288,9.025434,2,1
3.5106063,4.928533,2,1
1.6640867,7.2696238,2,1
4.3724895,6.064652,2,1
4.485252,7.6469097,2,1
4.9208417,7.027949,2,1
2.792749,5.125265,2,1
4.0550265,5.7291284,2,1
3.4599564,8.378231,2,1
4.0314693,8.776646,2,1
3.1540143,10.423743,2,1
1.584769,7.721391,2,1
2.2544703,8.78239,2,1
3.1225224,9.800859,2,1
2.0089233,8.927765,2,1
2.7050548,5.734258,2,1
3.159344,7.982799,2,1
2.7286694,9.520339,2,1
2.6161747,5.9163275,2,1
2.579332,9.642044,2,1
2.715001,5.870119,2,1
3.9639204,9.81316,2,1
4.1776013,7.2839465,2,1
4.205704,5.6458354,2,1
4.1808047,9.697438,2,1
3.0058029,7.1047125,2,1
2.5536902,5.5539927,2,1
3.3346305,6.914965,2,1
2.8841612,8.793692,2,1
3.6759872,7.125964,2,1
3.2913938,4.725739,2,1
3.0256236,8.638079,2,1
4.3969917,8.140756,2,1
